line_num,line,parse,parse_all,meter,meter_all,num_parses,num_viols__bestparse,num_viols__allparses_sum,num_viols__allparses_mean,score_viols__bestparse,score_viols__allparses_sum,score_viols__allparses_mean,num_sylls,num_words,[*strength.w=>-p/1]__bestparse,[*strength.w=>-p/1]__allparses_sum,[*strength.w=>-p/1]__allparses_mean,[*stress.s=>-u/1]__bestparse,[*stress.s=>-u/1]__allparses_sum,[*stress.s=>-u/1]__allparses_mean,[*stress.w=>-p/1]__bestparse,[*stress.w=>-p/1]__allparses_sum,[*stress.w=>-p/1]__allparses_mean,[*footmin-w-resolution/1]__bestparse,[*footmin-w-resolution/1]__allparses_sum,[*footmin-w-resolution/1]__allparses_mean,[*footmin-f-resolution/1]__bestparse,[*footmin-f-resolution/1]__allparses_sum,[*footmin-f-resolution/1]__allparses_mean,hayes_score
555,"I do forgive thy robbery, gentle thief,",i|DO|for|GIVE|thy|ROB|be.ry*|GEN|tle|THIEF,i|DO|for|GIVE|thy|ROB|be.ry*|GEN|tle|THIEF    i|DO|for|GIVE|thy|ROB.BE*|ry|GEN|tle|THIEF,wswswswwsws,wswswswwsws    wswswsswsws,2,1,2,1.0,1,2,1.0,11,7,0,0,0.0,0,1,0.5,0,0,0.0,1,1,0.5,0,0,0.0,2.21
556,Although thou steal thee all my poverty:,ALT.HOUGH*|thou|STEAL|thee|ALL|my|PO|ver|TY*,ALT.HOUGH*|thou|STEAL|thee|ALL|my|PO|ver|TY*    ALT.HOUGH*|thou|STEAL|thee|ALL|my|PO|ver.ty*    ALT.HOUGH*|thou|STEAL|thee|ALL|my|PO.VER*|ty    alt*|HOUGH|thou|STEAL|thee|ALL|my|PO|ver|TY*    alt*|HOUGH|thou|STEAL|thee|ALL|my|PO|ver.ty*    alt*|HOUGH|thou|STEAL|thee|ALL|my|PO.VER*|ty,sswswswsws,sswswswsws    sswswswsww    sswswswssw    wswswswsws    wswswswsww    wswswswssw,6,2,12,2.0,2,12,2.0,10,7,0,0,0.0,1,4,0.6666666666666666,0,3,0.5,1,5,0.8333333333333334,0,0,0.0,1.68
557,"And yet, love knows it is a greater grief",and|YET|love*|KNOWS|it|IS|a|GREA|ter|GRIEF,and|YET|love*|KNOWS|it|IS|a|GREA|ter|GRIEF    and.yet|LOVE|knows*|IT|is.a|GREA|ter|GRIEF    and.yet|LOVE.KNOWS*|it|IS|a|GREA|ter|GRIEF,wswswswsws,wswswswsws    wwswswwsws    wwsswswsws,3,1,3,1.0,1,3,1.0,10,9,0,0,0.0,0,0,0.0,1,2,0.6666666666666666,0,0,0.0,0,1,0.3333333333333333,6.34
558,"To bear love's wrong, than hate's known injury.",to|BEAR|love's*|WRONG|than|HATE'S|known*|IN|ju|RY*,to|BEAR|love's*|WRONG|than|HATE'S|known*|IN|ju|RY*    to|BEAR|love's*|WRONG|than|HATE'S|known*|IN|ju.ry*,wswswswsws,wswswswsws    wswswswsww,2,3,6,3.0,3,6,3.0,10,8,0,0,0.0,1,1,0.5,2,4,2.0,0,1,0.5,0,0,0.0,9.2
559,"Lascivious grace, in whom all ill well shows,",las|CI|vious|GRACE|in|WHOM|all|ILL|well*|SHOWS,las|CI|vious|GRACE|in|WHOM|all|ILL|well*|SHOWS,wswswswsws,wswswswsws,1,1,1,1.0,1,1,1.0,10,8,0,0,0.0,0,0,0.0,1,1,1.0,0,0,0.0,0,0,0.0,4.86
560,Kill me with spites yet we must not be foes.,KILL|me.with|SPITES|yet|WE|must|NOT|be|FOES,KILL|me.with|SPITES|yet|WE|must|NOT|be|FOES    KILL|me.with|SPITES|yet.we|MUST|not.be|FOES,swwswswsws,swwswswsws    swwswwswws,2,0,0,0.0,0,0,0.0,10,10,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5.31
561,"Those pretty wrongs that liberty commits,",those|PRET|ty|WRONGS|that|LI|ber|TY*|com|MITS,those|PRET|ty|WRONGS|that|LI|ber|TY*|com|MITS,wswswswsws,wswswswsws,1,1,1,1.0,1,1,1.0,10,6,0,0,0.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0.66
562,"When I am sometime absent from thy heart,",WHEN|i.am|SO|metime*|A|bsent|FROM*|thy|HEART,WHEN|i.am|SO|metime*|A|bsent|FROM*|thy|HEART    when|I|am|SO|metime*|A|bsent|FROM*|thy|HEART,swwswswsws,swwswswsws    wswswswsws,2,2,4,2.0,2,4,2.0,10,8,0,0,0.0,1,2,1.0,1,2,1.0,0,0,0.0,0,0,0.0,3.5
563,"Thy beauty, and thy years full well befits,",thy|BEA|uty|AND*|thy|YEARS|full*|WELL|be|FITS,thy|BEA|uty|AND*|thy|YEARS|full*|WELL|be|FITS    thy|BEA|uty|AND*|thy.years*|FULL.WELL*|be|FITS    thy|BEA|uty|AND.THY*|years|FULL.WELL*|be|FITS    thy|BEA|uty.and*|THY*|years|FULL.WELL*|be|FITS    thy|BEA.UTY*|and|THY*|years|FULL.WELL*|be|FITS,wswswswsws,wswswswsws    wswswwssws    wswsswssws    wswwswssws    wsswswssws,5,2,15,3.0,2,15,3.0,10,8,0,0,0.0,1,6,1.2,1,1,0.2,0,1,0.2,0,7,1.4,5.53
564,For still temptation follows where thou art.,for|STILL|temp|TA|tion|FOL|lows|WHERE|thou|ART,for|STILL|temp|TA|tion|FOL|lows|WHERE|thou|ART    for|STILL|temp|TA|tion|FOL|lows|WHERE|thou.art,wswswswsws,wswswswsws    wswswswsww,2,0,0,0.0,0,0,0.0,10,7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.88
565,"Gentle thou art, and therefore to be won,",GEN|tle.thou*|ART|and|THE.REFORE*|to.be|WON,GEN|tle.thou*|ART|and|THE.REFORE*|to.be|WON    GEN|tle|THOU*|art.and|THE.REFORE*|to.be|WON    GEN|tle.thou*|ART|and|THE|refore*|TO*|be|WON    GEN|tle|THOU*|art.and|THE|refore*|TO*|be|WON    GEN|tle.thou*|ART|and|THE|refore.to*|BE|won*    GEN|tle.thou*|ART|and|THE|refore.to*|BE.WON*    GEN|tle.thou*|ART|and.the*|REFORE|to.be|WON,swwswsswws,swwswsswws    swswwsswws    swwswswsws    swswwswsws    swwswswwsw    swwswswwss    swwswwswws,7,2,22,3.142857142857143,2,22,3.142857142857143,10,8,0,1,0.14285714285714285,0,4,0.5714285714285714,0,6,0.8571428571428571,1,2,0.2857142857142857,1,9,1.2857142857142858,8.51
566,"Beauteous thou art, therefore to be assail'd;",BEA|u|TEOUS*|thou.art|THE.REFORE*|to|BE|as|SAIL'D,BEA|u|TEOUS*|thou.art|THE.REFORE*|to|BE|as|SAIL'D    BEA|uteous|THOU*|art|THE.REFORE*|to|BE|as|SAIL'D    BEA|u|TEOUS*|thou|ART|the*|REFORE|to|BE|as|SAIL'D    BEA|u|TEOUS*|thou.art|THE|refore.to*|BE|as|SAIL'D    BEA|uteous.thou*|ART|the*|REFORE|to|BE|as|SAIL'D    BEA|uteous|THOU*|art|THE|refore.to*|BE|as|SAIL'D    BEA|uteous.thou*|ART.THE*|refore.to*|BE|as|SAIL'D,swswwsswsws,swswwsswsws    swswsswsws    swswswswsws    swswwswwsws    swwswswsws    swswswwsws    swwsswwsws,7,2,20,2.857142857142857,2,20,2.857142857142857,11,7,0,2,0.2857142857142857,1,5,0.7142857142857143,0,5,0.7142857142857143,1,2,0.2857142857142857,0,6,0.8571428571428571,7.95
567,"And when a woman woos, what woman's son",and|WHEN|a|WO|man|WOOS|what|WO|man's|SON,and|WHEN|a|WO|man|WOOS|what|WO|man's|SON,wswswswsws,wswswswsws,1,0,0,0.0,0,0,0.0,10,8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5.04
568,Will sourly leave her till he have prevail'd?,will|SOUR|l.y*|LEAVE|her.till|HE.HAVE*|pre|VAIL'D,will|SOUR|l.y*|LEAVE|her.till|HE.HAVE*|pre|VAIL'D    will|SOUR.L*|y|LEAVE|her.till|HE.HAVE*|pre|VAIL'D    will|SOUR|l.y*|LEAVE|her.till|HE|have.pre*|VAIL'D    will|SOUR.L*|y|LEAVE|her.till|HE|have.pre*|VAIL'D    will|SOUR|l.y*|LEAVE|her|TILL*|he|HAVE|pre|VAIL'D    will|SOUR.L*|y|LEAVE|her|TILL*|he|HAVE|pre|VAIL'D,wswwswwssws,wswwswwssws    wsswswwssws    wswwswwswws    wsswswwswws    wswwswswsws    wsswswswsws,6,2,12,2.0,2,12,2.0,11,8,0,0,0.0,0,5,0.8333333333333334,0,0,0.0,1,3,0.5,1,4,0.6666666666666666,1.9
569,"Ay me! but yet thou mightst my seat forbear,",AY|me.but|YET|thou|MIGHTST|my|SEAT.FOR*|bear,AY|me.but|YET|thou|MIGHTST|my|SEAT.FOR*|bear    AY|me.but|YET|thou|MIGHTST|my|SEAT|for*|BEAR*    AY|me.but|YET|thou|MIGHTST|my|SEAT|for.bear*    AY|me|BUT*|yet|THOU*|mightst*|MY*|seat*|FOR|bear,swwswswssw,swwswswssw    swwswswsws    swwswswsww    swswswswsw,4,1,12,3.0,1,12,3.0,10,9,0,2,0.5,0,4,1.0,0,4,1.0,0,1,0.25,1,1,0.25,5.12
570,"And chide thy beauty and thy straying youth,",and|CHIDE|thy|BEA|uty|AND*|thy|STRAY|ing|YOUTH,and|CHIDE|thy|BEA|uty|AND*|thy|STRAY|ing|YOUTH,wswswswsws,wswswswsws,1,1,1,1.0,1,1,1.0,10,8,0,0,0.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0.88
571,Who lead thee in their riot even there,who|LEAD|thee|IN|their|RI|ot|E|ven|THERE*,who|LEAD|thee|IN|their|RI|ot|E|ven|THERE*    who|LEAD|thee|IN|their|RI|ot|E|ven.there*,wswswswsws,wswswswsws    wswswswsww,2,1,2,1.0,1,2,1.0,10,8,0,0,0.0,1,1,0.5,0,0,0.0,0,0,0.0,0,1,0.5,3.4
572,Where thou art forced to break a twofold truth%,WHERE|thou.art|FORCED|to|BREAK|a|TWO|fold*|TRUTH,WHERE|thou.art|FORCED|to|BREAK|a|TWO|fold*|TRUTH,swwswswsws,swwswswsws,1,1,1,1.0,1,1,1.0,10,9,0,0,0.0,0,0,0.0,1,1,1.0,0,0,0.0,0,0,0.0,3.22
573,"Hers by thy beauty tempting her to thee,",HERS*|by.thy|BEA|uty|TEMP|ting|HER*|to.thee,HERS*|by.thy|BEA|uty|TEMP|ting|HER*|to.thee    hers|BY*|thy|BEA|uty|TEMP|ting|HER*|to.thee,swwswswsww,swwswswsww    wswswswsww,2,2,4,2.0,2,4,2.0,10,8,0,0,0.0,2,4,2.0,0,0,0.0,0,0,0.0,0,0,0.0,9.2
574,Thine by thy beauty being false to me.,THINE*|by.thy|BEA|uty|BE|ing|FALSE|to.me,THINE*|by.thy|BEA|uty|BE|ing|FALSE|to.me    thine|BY*|thy|BEA|uty|BE|ing|FALSE|to.me,swwswswsww,swwswswsww    wswswswsww,2,1,2,1.0,1,2,1.0,10,8,0,0,0.0,1,2,1.0,0,0,0.0,0,0,0.0,0,0,0.0,3.22
575,"That thou hast her it is not all my grief,",THAT|thou|HAST|her|IT|is|NOT|all.my|GRIEF,THAT|thou|HAST|her|IT|is|NOT|all.my|GRIEF    THAT|thou|HAST|her|IT|is.not|ALL|my|GRIEF    THAT|thou|HAST|her.it|IS|not|ALL|my|GRIEF    that.thou|HAST|her|IT|is|NOT|all.my|GRIEF    that.thou|HAST|her|IT|is.not|ALL|my|GRIEF    that.thou|HAST|her.it|IS|not|ALL|my|GRIEF,swswswswws,swswswswws    swswswwsws    swswwswsws    wwswswswws    wwswswwsws    wwswwswsws,6,0,0,0.0,0,0,0.0,10,10,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2.09
576,And yet it may be said I loved her dearly;,and.yet|IT|may.be|SAID|i|LOVED|her|DEAR|ly,and.yet|IT|may.be|SAID|i|LOVED|her|DEAR|ly,wwswwswswsw,wwswwswswsw,1,0,0,0.0,0,0,0.0,11,10,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4.51
577,"That she hath thee is of my wailing chief,",THAT|she|HATH|thee|IS|of.my|WAI|ling|CHIEF,THAT|she|HATH|thee|IS|of.my|WAI|ling|CHIEF    that|SHE|hath.thee|IS|of.my|WAI|ling|CHIEF    that.she|HATH|thee|IS|of.my|WAI|ling|CHIEF,swswswwsws,swswswwsws    wswwswwsws    wwswswwsws,3,0,0,0.0,0,0,0.0,10,9,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1.07
578,A loss in love that touches me more nearly.,a|LOSS|in|LOVE|that|TOUC|hes|ME*|more|NEAR|ly,a|LOSS|in|LOVE|that|TOUC|hes|ME*|more|NEAR|ly    a|LOSS|in|LOVE|that|TOUC.HES*|me.more|NEAR|ly    a|LOSS|in|LOVE|that|TOUC|hes.me*|MORE.NEAR*|ly    a|LOSS|in|LOVE|that|TOUC|hes.me*|MORE|near.ly*,wswswswswsw,wswswswswsw    wswswsswwsw    wswswswwssw    wswswswwsww,4,1,8,2.0,1,8,2.0,11,9,0,1,0.25,1,2,0.5,0,1,0.25,0,1,0.25,0,3,0.75,3.08
579,Loving offenders thus I will excuse ye:,LO|ving.of*|FEN|ders|THUS|i|WILL*|ex|CUSE|ye,LO|ving.of*|FEN|ders|THUS|i|WILL*|ex|CUSE|ye    LO.VING*|of|FEN|ders|THUS|i|WILL*|ex|CUSE|ye    LO|ving.of*|FEN|ders|THUS.I*|will.ex*|CUSE|ye,swwswswswsw,swwswswswsw    sswswswswsw    swwswsswwsw,3,2,7,2.3333333333333335,2,7,2.3333333333333335,11,7,0,0,0.0,1,3,1.0,0,0,0.0,0,0,0.0,1,4,1.3333333333333333,9.14
580,"Thou dost love her, because thou know'st I love her;",thou.dost|LOVE|her.be*|CAUSE|thou|KNOW'ST|i|LOVE|her,thou.dost|LOVE|her.be*|CAUSE|thou|KNOW'ST|i|LOVE|her    thou|DOST|love*|HER*|be|CAUSE|thou|KNOW'ST|i|LOVE|her    thou.dost|LOVE|her|BE.CAUSE*|thou|KNOW'ST|i|LOVE|her,wwswwswswsw,wwswwswswsw    wswswswswsw    wwswsswswsw,3,1,5,1.6666666666666667,1,5,1.6666666666666667,11,10,0,0,0.0,0,2,0.6666666666666666,0,1,0.3333333333333333,0,1,0.3333333333333333,1,1,0.3333333333333333,23.85
581,"And for my sake even so doth she abuse me,",AND*|for.my|SAKE.E*|ven|SO*|doth|SHE|a|BUSE|me,AND*|for.my|SAKE.E*|ven|SO*|doth|SHE|a|BUSE|me    and|FOR*|my|SAKE.E*|ven|SO*|doth|SHE|a|BUSE|me    and.for|MY*|sake*|E|ven|SO*|doth|SHE|a|BUSE|me,swwsswswswsw,swwsswswswsw    wswsswswswsw    wwswswswswsw,3,3,9,3.0,3,9,3.0,12,10,0,0,0.0,2,6,2.0,0,1,0.3333333333333333,0,0,0.0,1,2,0.6666666666666666,8.92
582,Suffering my friend for my sake to approve her.,SUF|fe|RING*|my|FRIEND|for.my|SAKE|to.ap*|PROVE|her,SUF|fe|RING*|my|FRIEND|for.my|SAKE|to.ap*|PROVE|her    SUF|fering.my*|FRIEND|for.my|SAKE|to.ap*|PROVE|her    SUF.FERING*|my|FRIEND|for.my|SAKE|to.ap*|PROVE|her    SUF|fe|RING*|my|FRIEND|for.my|SAKE|to|AP.PROVE*|her    SUF.FERING*|my|FRIEND|for.my|SAKE|to|AP.PROVE*|her    SUF|fe|RING*|my|FRIEND|for|MY*|sake*|TO*|ap|PROVE|her    SUF.FERING*|my|FRIEND|for|MY*|sake*|TO*|ap|PROVE|her,swswswwswwsw,swswswwswwsw    swwswwswwsw    sswswwswwsw    swswswwswssw    sswswwswssw    swswswswswsw    sswswswswsw,7,2,20,2.857142857142857,2,20,2.857142857142857,12,9,0,0,0.0,1,12,1.7142857142857142,0,2,0.2857142857142857,0,2,0.2857142857142857,1,4,0.5714285714285714,16.5
583,"If I lose thee, my loss is my love's gain,",if.i|LOSE|thee.my|LOSS|is.my|LOVE'S|gain*,if.i|LOSE|thee.my|LOSS|is.my|LOVE'S|gain*    if.i|LOSE|thee.my|LOSS|is.my|LOVE'S.GAIN*,wwswwswwsw,wwswwswwsw    wwswwswwss,2,1,2,1.0,1,2,1.0,10,10,0,0,0.0,0,0,0.0,1,1,0.5,0,0,0.0,0,1,0.5,7.99
584,"And losing her, my friend hath found that loss;",and|LO|sing|HER*|my|FRIEND|hath|FOUND|that|LOSS,and|LO|sing|HER*|my|FRIEND|hath|FOUND|that|LOSS,wswswswsws,wswswswsws,1,1,1,1.0,1,1,1.0,10,9,0,0,0.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,1.23
585,"Both find each other, and I lose both twain,",BOTH.FIND*|each|OT|her|AND*|i|LOSE|both*|TWAIN,BOTH.FIND*|each|OT|her|AND*|i|LOSE|both*|TWAIN    BOTH.FIND*|each|OT.HER*|and.i|LOSE|both*|TWAIN    both*|FIND|each|OT|her|AND*|i|LOSE|both*|TWAIN    both*|FIND|each|OT.HER*|and.i|LOSE|both*|TWAIN    BOTH.FIND*|each|OT|her.and*|I|lose*|BOTH|twain*    BOTH.FIND*|each|OT|her.and*|I|lose*|BOTH.TWAIN*    BOTH.FIND*|each|OT|her.and*|I|lose.both*|TWAIN    BOTH.FIND*|each|OT|her.and*|I.LOSE*|both*|TWAIN    both*|FIND|each|OT|her.and*|I|lose*|BOTH|twain*    both*|FIND|each|OT|her.and*|I|lose*|BOTH.TWAIN*    both*|FIND|each|OT|her.and*|I|lose.both*|TWAIN    both*|FIND|each|OT|her.and*|I.LOSE*|both*|TWAIN,sswswswsws,sswswswsws    sswsswwsws    wswswswsws    wswsswwsws    sswswwswsw    sswswwswss    sswswwswws    sswswwssws    wswswwswsw    wswswwswss    wswswwswws    wswswwssws,12,3,44,3.6666666666666665,3,44,3.6666666666666665,10,9,0,0,0.0,1,4,0.3333333333333333,1,20,1.6666666666666667,0,0,0.0,1,20,1.6666666666666667,2.21
586,And both for my sake lay on me this cross:,and|BOTH|for.my|SAKE|lay*|ON*|me.this|CROSS,and|BOTH|for.my|SAKE|lay*|ON*|me.this|CROSS    and|BOTH|for.my|SAKE.LAY*|on|ME*|this|CROSS,wswwswswws,wswwswswws    wswwsswsws,2,2,4,2.0,2,4,2.0,10,10,0,0,0.0,1,2,1.0,1,1,0.5,0,0,0.0,0,1,0.5,4.2
587,But here's the joy; my friend and I are one;,but|HERE'S|the|JOY|my|FRIEND|and|I|are.one,but|HERE'S|the|JOY|my|FRIEND|and|I|are.one,wswswswsww,wswswswsww,1,0,0,0.0,0,0,0.0,10,10,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1.7
588,Sweet flattery! then she loves but me alone.,SWEET.FLAT*|te.ry*|THEN|she|LOVES|but|ME*|a|LONE,SWEET.FLAT*|te.ry*|THEN|she|LOVES|but|ME*|a|LONE    sweet*|FLAT|te.ry*|THEN|she|LOVES|but|ME*|a|LONE    sweet*|FLAT.TE*|ry|THEN|she|LOVES|but|ME*|a|LONE    SWEET.FLAT*|te|RY*|then.she|LOVES|but|ME*|a|LONE    sweet*|FLAT|te|RY*|then.she|LOVES|but|ME*|a|LONE,sswwswswsws,sswwswswsws    wswwswswsws    wsswswswsws    sswswwswsws    wswswwswsws,5,3,15,3.0,3,15,3.0,11,8,0,0,0.0,1,8,1.6,0,3,0.6,1,2,0.4,1,2,0.4,6.1
589,"When most I wink, then do mine eyes best see,",WHEN|most.i|WINK|then|DO|mine|EYES|best*|SEE,WHEN|most.i|WINK|then|DO|mine|EYES|best*|SEE    when|MOST|i|WINK|then|DO|mine|EYES|best*|SEE,swwswswsws,swwswswsws    wswswswsws,2,1,2,1.0,1,2,1.0,10,10,0,0,0.0,0,0,0.0,1,2,1.0,0,0,0.0,0,0,0.0,4.45
590,For all the day they view things unrespected;,for|ALL|the|DAY|they|VIEW|things*|UN|res|PEC|ted,for|ALL|the|DAY|they|VIEW|things*|UN|res|PEC|ted,wswswswswsw,wswswswswsw,1,1,1,1.0,1,1,1.0,11,8,0,0,0.0,0,0,0.0,1,1,1.0,0,0,0.0,0,0,0.0,6.34
591,"But when I sleep, in dreams they look on thee,",but|WHEN|i|SLEEP|in|DREAMS|they|LOOK|on.thee,but|WHEN|i|SLEEP|in|DREAMS|they|LOOK|on.thee,wswswswsww,wswswswsww,1,0,0,0.0,0,0,0.0,10,10,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1.51
592,"And darkly bright, are bright in dark directed.",and|DAR|kly|BRIGHT|are|BRIGHT|in|DARK|di|REC|ted,and|DAR|kly|BRIGHT|are|BRIGHT|in|DARK|di|REC|ted,wswswswswsw,wswswswswsw,1,0,0,0.0,0,0,0.0,11,8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4.03
593,"Then thou, whose shadow shadows doth make bright,",THEN|thou.whose|SHA|dow|SHA.DOWS|doth|MAKE|bright*,THEN|thou.whose|SHA|dow|SHA.DOWS|doth|MAKE|bright*    THEN|thou.whose|SHA|dow|SHA.DOWS|doth|MAKE.BRIGHT*,swwswsswsw,swwswsswsw    swwswsswss,2,1,2,1.0,1,2,1.0,10,8,0,0,0.0,0,0,0.0,1,1,0.5,0,0,0.0,0,1,0.5,4.61
594,How would thy shadow's form form happy show,how|WOULD|thy|SHA|dow's|FORM|form*|HAP|py|SHOW,how|WOULD|thy|SHA|dow's|FORM|form*|HAP|py|SHOW,wswswswsws,wswswswsws,1,1,1,1.0,1,1,1.0,10,8,0,0,0.0,0,0,0.0,1,1,1.0,0,0,0.0,0,0,0.0,9.47
595,"To the clear day with thy much clearer light,",to.the|CLEAR.DAY*|with.thy|MUCH.CLEA*|rer|LIGHT,to.the|CLEAR.DAY*|with.thy|MUCH.CLEA*|rer|LIGHT    to.the|CLEAR|day*|WITH*|thy.much|CLEA|rer|LIGHT    to.the|CLEAR.DAY*|with|THY*|much|CLEA|rer|LIGHT    to.the|CLEAR.DAY*|with.thy|MUCH|clea.rer*|LIGHT,wwsswwssws,wwsswwssws    wwswswwsws    wwsswswsws    wwsswwswws,4,2,9,2.25,2,9,2.25,10,9,0,1,0.25,0,2,0.5,0,2,0.5,0,0,0.0,2,4,1.0,3.69
596,When to unseeing eyes thy shade shines so!,WHEN|to.un*|SEE|ing|EYES|thy|SHADE.SHINES*|so,WHEN|to.un*|SEE|ing|EYES|thy|SHADE.SHINES*|so    when|TO*|un|SEE|ing|EYES|thy|SHADE.SHINES*|so    when|TO*|un|SEE|ing|EYES|thy|SHADE|shines*|SO*,swwswswssw,swwswswssw    wswswswssw    wswswswsws,3,2,7,2.3333333333333335,2,7,2.3333333333333335,10,8,0,0,0.0,0,3,1.0,0,1,0.3333333333333333,0,0,0.0,2,3,1.0,6.21
597,"How would, I say, mine eyes be blessed made",how|WOULD|i|SAY|mine|EYES|be|BLESSED|made*,how|WOULD|i|SAY|mine|EYES|be|BLESSED|made*    how|WOULD|i|SAY|mine|EYES|be|BLESSED.MADE*,wswswswsw,wswswswsw    wswswswss,2,1,2,1.0,1,2,1.0,9,9,0,0,0.0,0,0,0.0,1,1,0.5,0,0,0.0,0,1,0.5,5.67
598,"By looking on thee in the living day,",by|LOO|king|ON*|thee|IN|the|LI|ving|DAY,by|LOO|king|ON*|thee|IN|the|LI|ving|DAY    by|LOO.KING*|on.thee|IN|the|LI|ving|DAY,wswswswsws,wswswswsws    wsswwswsws,2,1,2,1.0,1,2,1.0,10,8,0,0,0.0,1,2,1.0,0,0,0.0,0,0,0.0,0,0,0.0,2.5
599,When in dead night thy fair imperfect shade,WHEN|in|DEAD.NIGHT*|thy|FAIR|im|PER|fect|SHADE,WHEN|in|DEAD.NIGHT*|thy|FAIR|im|PER|fect|SHADE    when.in|DEAD.NIGHT*|thy|FAIR|im|PER|fect|SHADE    when|IN|dead*|NIGHT|thy|FAIR|im|PER|fect|SHADE,swsswswsws,swsswswsws    wwsswswsws    wswswswsws,3,1,3,1.0,1,3,1.0,10,8,0,0,0.0,0,0,0.0,0,1,0.3333333333333333,0,0,0.0,1,2,0.6666666666666666,3.22
600,Through heavy sleep on sightless eyes doth stay!,through|HEA|vy|SLEEP|on|SIGH|tless|EYES|doth|STAY,through|HEA|vy|SLEEP|on|SIGH|tless|EYES|doth|STAY,wswswswsws,wswswswsws,1,0,0,0.0,0,0,0.0,10,8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.19
601,"All days are nights to see till I see thee,",all|DAYS|are|NIGHTS|to|SEE|till.i|SEE|thee,all|DAYS|are|NIGHTS|to|SEE|till.i|SEE|thee,wswswswwsw,wswswswwsw,1,0,0,0.0,0,0,0.0,10,10,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3.13
602,And nights bright days when dreams do show thee me.,and|NIGHTS|bright*|DAYS|when|DREAMS|do|SHOW|thee.me,and|NIGHTS|bright*|DAYS|when|DREAMS|do|SHOW|thee.me,wswswswsww,wswswswsww,1,1,1,1.0,1,1,1.0,10,10,0,0,0.0,0,0,0.0,1,1,1.0,0,0,0.0,0,0,0.0,3.51
603,"If the dull substance of my flesh were thought,",if.the|DULL.SUBS*|tance|OF*|my|FLESH|were|THOUGHT,if.the|DULL.SUBS*|tance|OF*|my|FLESH|were|THOUGHT    if|THE*|dull*|SUBS|tance|OF*|my|FLESH|were|THOUGHT    if.the|DULL|subs*|TANCE*|of.my|FLESH|were|THOUGHT,wwsswswsws,wwsswswsws    wswswswsws    wwswswwsws,3,2,8,2.6666666666666665,2,8,2.6666666666666665,10,9,0,1,0.3333333333333333,1,4,1.3333333333333333,0,2,0.6666666666666666,0,0,0.0,1,1,0.3333333333333333,3.69
604,Injurious distance should not stop my way;,in|JU|rious|DIS|tance|SHOULD|not|STOP|my|WAY,in|JU|rious|DIS|tance|SHOULD|not|STOP|my|WAY,wswswswsws,wswswswsws,1,0,0,0.0,0,0,0.0,10,7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.88
605,"For then despite of space I would be brought,",for|THEN|des|PITE|of|SPACE|i|WOULD|be|BROUGHT,for|THEN|des|PITE|of|SPACE|i|WOULD|be|BROUGHT,wswswswsws,wswswswsws,1,0,0,0.0,0,0,0.0,10,9,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.66
606,"From limits far remote, where thou dost stay.",from|LI|mits|FAR|re|MOTE.WHERE*|thou.dost|STAY,from|LI|mits|FAR|re|MOTE.WHERE*|thou.dost|STAY    from|LI|mits|FAR|re|MOTE|where.thou|DOST|stay*    from|LI|mits|FAR|re|MOTE|where.thou|DOST.STAY*    from|LI|mits|FAR|re|MOTE|where|THOU*|dost|STAY,wswswsswws,wswswsswws    wswswswwsw    wswswswwss    wswswswsws,4,1,4,1.0,1,4,1.0,10,8,0,0,0.0,0,1,0.25,0,1,0.25,0,0,0.0,1,2,0.5,1.32
607,No matter then although my foot did stand,NO.MAT*|ter|THEN|alt*|HOUGH|my|FOOT|did|STAND,NO.MAT*|ter|THEN|alt*|HOUGH|my|FOOT|did|STAND    no*|MAT|ter|THEN|alt*|HOUGH|my|FOOT|did|STAND    NO.MAT*|ter.then*|ALT.HOUGH*|my|FOOT|did|STAND    no*|MAT.TER*|then|ALT.HOUGH*|my|FOOT|did|STAND,sswswswsws,sswswswsws    wswswswsws    sswwsswsws    wsswsswsws,4,2,10,2.5,2,10,2.5,10,8,0,0,0.0,0,1,0.25,1,4,1.0,0,2,0.5,1,3,0.75,3.59
