line_num,line,parse,parse_all,meter,meter_all,num_parses,num_viols__bestparse,num_viols__allparses_sum,num_viols__allparses_mean,score_viols__bestparse,score_viols__allparses_sum,score_viols__allparses_mean,num_sylls,num_words,[*strength.w=>-p/1]__bestparse,[*strength.w=>-p/1]__allparses_sum,[*strength.w=>-p/1]__allparses_mean,[*stress.s=>-u/1]__bestparse,[*stress.s=>-u/1]__allparses_sum,[*stress.s=>-u/1]__allparses_mean,[*stress.w=>-p/1]__bestparse,[*stress.w=>-p/1]__allparses_sum,[*stress.w=>-p/1]__allparses_mean,[*footmin-w-resolution/1]__bestparse,[*footmin-w-resolution/1]__allparses_sum,[*footmin-w-resolution/1]__allparses_mean,[*footmin-f-resolution/1]__bestparse,[*footmin-f-resolution/1]__allparses_sum,[*footmin-f-resolution/1]__allparses_mean,hayes_score
11,"Within thine own bud buriest thy content,",wit|HIN|thine|OWN|bud*|BU|ri|EST*|thy|CON|tent,wit|HIN|thine|OWN|bud*|BU|ri|EST*|thy|CON|tent    wit|HIN|thine.own|BUD.BU*|ri|EST*|thy|CON|tent,wswswswswsw,wswswswswsw    wswwsswswsw,2,2,4,2.0,2,4,2.0,11,7,0,0,0.0,1,2,1.0,1,1,0.5,0,0,0.0,0,1,0.5,4.94
12,And tender churl mak'st waste in niggarding:,and|TEN|der|CHURL|mak'st*|WASTE|in|NIG|gar|DING*,and|TEN|der|CHURL|mak'st*|WASTE|in|NIG|gar|DING*    and|TEN|der|CHURL|mak'st*|WASTE|in|NIG|gar.ding*    and|TEN|der|CHURL|mak'st*|WASTE|in|NIG.GAR*|ding,wswswswsws,wswswswsws    wswswswsww    wswswswssw,3,2,6,2.0,2,6,2.0,10,7,0,0,0.0,1,2,0.6666666666666666,1,3,1.0,0,1,0.3333333333333333,0,0,0.0,5.0
13,"Pity the world, or else this glutton be,",PI|ty.the*|WORLD|or|ELSE|this|GLUT|ton|BE,PI|ty.the*|WORLD|or|ELSE|this|GLUT|ton|BE    PI.TY*|the|WORLD|or|ELSE|this|GLUT|ton|BE,swwswswsws,swwswswsws    sswswswsws,2,1,2,1.0,1,2,1.0,10,8,0,0,0.0,0,1,0.5,0,0,0.0,0,0,0.0,1,1,0.5,4.86
14,"To eat the world's due, by the grave and thee.",to|EAT|the|WORLD'S.DUE*|by.the|GRAVE|and.thee,to|EAT|the|WORLD'S.DUE*|by.the|GRAVE|and.thee    to|EAT|the|WORLD'S|due*|BY*|the|GRAVE|and.thee,wswsswwsww,wswsswwsww    wswswswsww,2,1,3,1.5,1,3,1.5,10,10,0,0,0.0,0,1,0.5,0,1,0.5,0,0,0.0,1,1,0.5,8.33
15,"When forty winters shall besiege thy brow,",when|FOR|ty|WIN|ters|SHALL|be|SIEGE|thy|BROW,when|FOR|ty|WIN|ters|SHALL|be|SIEGE|thy|BROW,wswswswsws,wswswswsws,1,0,0,0.0,0,0,0.0,10,7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.88
16,"And dig deep trenches in thy beauty's field,",and|DIG|deep*|TRENC|hes|IN|thy|BEA|uty's|FIELD,and|DIG|deep*|TRENC|hes|IN|thy|BEA|uty's|FIELD,wswswswsws,wswswswsws,1,1,1,1.0,1,1,1.0,10,8,0,0,0.0,0,0,0.0,1,1,1.0,0,0,0.0,0,0,0.0,4.42
17,"Thy youth's proud livery so gazed on now,",thy|YOUTH'S|proud*|LI|ve|RY*|so|GAZED|on|NOW,thy|YOUTH'S|proud*|LI|ve|RY*|so|GAZED|on|NOW,wswswswsws,wswswswsws,1,2,2,2.0,2,2,2.0,10,8,0,0,0.0,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,7.59
18,Will be a tatter'd weed of small worth held:,will|BE|a|TAT|ter'd|WEED|of|SMALL|worth*|HELD,will|BE|a|TAT|ter'd|WEED|of|SMALL|worth*|HELD,wswswswsws,wswswswsws,1,1,1,1.0,1,1,1.0,10,9,0,0,0.0,0,0,0.0,1,1,1.0,0,0,0.0,0,0,0.0,5.97
19,"Then being asked, where all thy beauty lies,",then|BE|ing|ASKED|where|ALL|thy|BEA|uty|LIES,then|BE|ing|ASKED|where|ALL|thy|BEA|uty|LIES,wswswswsws,wswswswsws,1,0,0,0.0,0,0,0.0,10,8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1.64
20,Where all the treasure of thy lusty days;,WHERE|all.the|TREA|sure|OF*|thy|LUS|ty|DAYS,WHERE|all.the|TREA|sure|OF*|thy|LUS|ty|DAYS    WHERE|all.the|TREA.SURE*|of.thy|LUS|ty|DAYS    where|ALL|the|TREA|sure|OF*|thy|LUS|ty|DAYS    where|ALL|the|TREA.SURE*|of.thy|LUS|ty|DAYS,swwswswsws,swwswswsws    swwsswwsws    wswswswsws    wswsswwsws,4,1,4,1.0,1,4,1.0,10,8,0,0,0.0,1,4,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0.28
